comuna;zona;sexo;edad;ecivil;educ;activ;P1;P2;P3;P4;P5;P6;P7;Y1;Y2;Ytot;Ytot2
Iquique;Urbano;Mujer;36;Separado(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En otra comuna;S’;S’;N5;1900000;0;1900000;1200000
Iquique;Urbano;Mujer;60;Soltero(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N6;741667;0;1091667;700000
Iquique;Urbano;Mujer;49;Soltero(a);Profesional Completo;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;757333;9346;766679;687333
Iquique;Urbano;Hombre;37;Casado(a);Profesional  Incompleto;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N10;2671666;0;3121666;1475000
Iquique;Urbano;Mujer;29;Separado(a);M. Hum. Completa;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N5;465000;3958;668958;315000
Iquique;Urbano;Mujer;50;Soltero(a);M. TŽc Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N3;492400;23626;516026;81200
Iquique;Urbano;Mujer;23;Soltero(a);M. TŽc Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;800000;0;1000000;480000
Iquique;Urbano;Mujer;33;Conviviente o pareja;B‡sica Incom.;Inactivos;No;No;Chilena (exclusivamente);En esta comuna;No;No;N4;630000;0;630000;330000
Iquique;Urbano;Mujer;29;Conviviente o pareja;M. Hum. Incompleta;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;No;No;N5;520000;25878;545878;210000
Iquique;Urbano;Mujer;59;Soltero(a);B‡sica Compl.;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N4;180000;3000;183000;120000
Iquique;Urbano;Hombre;50;Casado(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N8;280000;86183;616183;280000
Iquique;Urbano;Mujer;92;Soltero(a);M. Hum. Incompleta;Ocupados;No;No;Otra nacionalidad (extranjeros);En otro pa’s;No;No;N9;252000;0;252000;252000
Iquique;Urbano;Hombre;52;Soltero(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;No;N6;300000;0;300000;300000
Iquique;Urbano;Mujer;50;Separado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N6;520000;4125;724125;210000
Iquique;Urbano;Mujer;34;Conviviente o pareja;Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N5;1450000;0;1550000;700000
Iquique;Urbano;Mujer;45;Soltero(a);TŽcnico Nivel Superior Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N9;641667;0;641667;641667
Iquique;Urbano;Mujer;50;Separado(a);B‡sica Incom.;Ocupados;No;No;Otra nacionalidad (extranjeros);En otro pa’s;No;No;N6;595373;0;745373;200000
Iquique;Urbano;Hombre;63;Casado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;1900000;0;2200000;600000
Iquique;Urbano;Hombre;40;Separado(a);B‡sica Incom.;Inactivos;No;No;Chilena (exclusivamente);En esta comuna;No;No;N5;400000;0;480000;400000
Iquique;Urbano;Hombre;38;Soltero(a);B‡sica Incom.;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N8;200000;0;300000;200000
Iquique;Urbano;Mujer;27;Soltero(a);M. Hum. Completa;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;No;No;N8;430000;0;430000;210000
Iquique;Urbano;Mujer;36;Soltero(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;S’;N6;230000;22626;352626;230000
Iquique;Urbano;Hombre;56;Soltero(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N6;250000;0;350000;250000
Iquique;Urbano;Mujer;30;Soltero(a);M. Hum. Incompleta;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;No;No;N9;200000;0;200000;200000
Iquique;Urbano;Hombre;57;Soltero(a);M. TŽc. Prof. Incompleta;Ocupados;S’;No;Chilena (exclusivamente);No sabe;No;No;N7;150000;0;250000;150000
Iquique;Urbano;Hombre;54;Soltero(a);B‡sica Incom.;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N4;290000;15882;305882;290000
Iquique;Urbano;Mujer;56;Conviviente o pareja;B‡sica Incom.;Ocupados;S’;No;Chilena (exclusivamente);En otra comuna;No;No;N6;212667;0;212667;212667
Iquique;Urbano;Hombre;40;Casado(a);B‡sica Compl.;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;No;N8;650000;6000;826000;450000
Iquique;Urbano;Hombre;26;Casado(a);M. TŽc Completa;Ocupados;No;No;Otra nacionalidad (extranjeros);En otro pa’s;No;No;N6;590000;0;590000;350000
Iquique;Urbano;Hombre;70;Viudo(a);B‡sica Compl.;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N10;370000;94058;634058;250000
Iquique;Urbano;Hombre;27;Conviviente o pareja;M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;40000;0;160000;40000
Iquique;Urbano;Mujer;23;Conviviente o pareja;M. Hum. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N7;453334;44861;618195;231667
Iquique;Urbano;Hombre;27;Casado(a);Profesional  Incompleto;Desocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N6;660000;5294;665294;280000
Iquique;Urbano;Mujer;31;Soltero(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;530000;8626;718626;370000
Iquique;Urbano;Mujer;58;Casado(a);M. Hum. Incompleta;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;No;N7;400000;7000;607000;200000
Iquique;Urbano;Mujer;31;Conviviente o pareja;Profesional  Incompleto;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;No;No;N7;1153334;0;1453334;100000
Iquique;Urbano;Mujer;44;Casado(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;220000;30461;400461;120000
Iquique;Urbano;Mujer;55;Soltero(a);M. Hum. Completa;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;No;S’;N6;250000;11294;401294;250000
Iquique;Urbano;Mujer;63;Divorciado(a);M. TŽc. Prof. Incompleta;Inactivos;No;No;Chilena (exclusivamente);En esta comuna;No;No;N7;484000;0;684000;175000
Iquique;Urbano;Mujer;24;Soltero(a);M. Hum. Completa;Ocupados;No;No;Otra nacionalidad (extranjeros);En otro pa’s;No;No;N8;230000;0;230000;230000
Iquique;Urbano;Hombre;40;Casado(a);B‡sica Compl.;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;430000;8626;638626;250000
Iquique;Urbano;Hombre;37;Separado(a);M. Hum. Incompleta;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;No;S’;N7;250000;0;250000;250000
Iquique;Urbano;Hombre;30;Conviviente o pareja;M. TŽc Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N10;450000;25878;675878;450000
Iquique;Urbano;Mujer;49;Separado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N9;1710000;0;1910000;210000
Iquique;Urbano;Hombre;40;Soltero(a);M. Hum. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;No;N8;210000;0;410000;210000
Iquique;Urbano;Mujer;47;Separado(a);B‡sica Compl.;Inactivos;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N6;180000;38878;348878;180000
Iquique;Urbano;Mujer;26;Soltero(a);M. TŽc Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;S’;N8;60000;30010;290010;60000
Iquique;Urbano;Hombre;35;Casado(a);Profesional Completo;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;1083333;0;1213333;500000
Iquique;Urbano;Mujer;39;Soltero(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N6;150000;21210;401210;150000
Iquique;Urbano;Hombre;62;Casado(a);Profesional  Incompleto;Inactivos;No;No;Chilena (exclusivamente);En esta comuna;No;S’;N6;720800;0;890800;150000
Iquique;Urbano;Mujer;43;Soltero(a);M. Hum. Completa;Ocupados;No;No;Otra nacionalidad (extranjeros);En esta comuna;S’;No;N5;280000;5019;285019;220000
Iquique;Urbano;Mujer;54;Casado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;No;N8;521548;0;721548;241548
Iquique;Urbano;Mujer;30;Soltero(a);M. TŽc Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;S’;N7;273750;0;423750;273750
Iquique;Urbano;Mujer;33;Soltero(a);TŽcnico Nivel Superior Incompleta;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;S’;N8;270000;0;450000;230000
Iquique;Urbano;Hombre;37;Conviviente o pareja;Profesional Completo;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N5;1190000;3346;1373352;840000
Iquique;Urbano;Hombre;48;Casado(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;400000;0;530000;300000
Iquique;Urbano;Hombre;31;Casado(a);M. Hum. Completa;Ocupados;S’;No;Otra nacionalidad (extranjeros);En esta comuna;S’;S’;N7;450000;15171;465171;210000
Iquique;Urbano;Mujer;54;Soltero(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;410000;82058;892058;210000
Iquique;Urbano;Hombre;50;Casado(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N10;3013333;0;3413333;2200000
Iquique;Urbano;Mujer;30;Soltero(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En otra comuna;S’;S’;N8;720833;0;720833;700000
Iquique;Urbano;Hombre;53;Casado(a);Profesional Completo;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N10;3200000;0;3500000;2000000
Iquique;Urbano;Hombre;31;Casado(a);TŽcnico Nivel Superior Incompleta;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;No;No;N6;1408334;0;1758334;604167
Iquique;Urbano;Hombre;45;Separado(a);M. Hum. Completa;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N9;480000;0;580000;480000
Iquique;Urbano;Hombre;32;Soltero(a);Profesional Completo;Ocupados;S’;No;Chilena (exclusivamente);En esta comuna;S’;S’;N10;1912500;0;2312500;802500
Iquique;Urbano;Hombre;29;Casado(a);TŽcnico Nivel Superior Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N10;1950015;8626;2558711;1625001
Iquique;Urbano;Mujer;60;Separado(a);M. Hum. Incompleta;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N8;2705600;0;2705600;1000000
Iquique;Urbano;Hombre;54;Casado(a);M. Hum. Completa;Ocupados;No;No;Chilena (exclusivamente);En esta comuna;S’;S’;N7;1170000;0;1570000;1170000
Iquique;Urbano;Hombre;36;Casado(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En esta comuna;S’;S’;N8;900000;0;1200000;900000
Iquique;Urbano;Hombre;28;Casado(a);Profesional Completo;Ocupados;S’;S’;Chilena (exclusivamente);En otra comuna;S’;S’;N8;4200000;0;4700000;1800000
